1hw5	A	Kb=2.0+-0.3M^-1 (11124966)
1hw5	A	Kb=2.0+-0.3M^-1 (11124966)
1hw5	B	Kb=2.0+-0.3M^-1 (11124966)
1hw5	B	Kb=2.0+-0.3M^-1 (11124966)
1o9f	A	Kd=0.7uM (12606564)
1w25	A	Ki=0.5uM (15569936)
1w25	A	Ki=0.5uM (15569936)
1w25	A	Ki=0.5uM (15569936)
1w25	B	Ki=0.5uM (15569936)
1w25	B	Ki=0.5uM (15569936)
1xui	A	Ki=19uM (9468142)
2o99	A	Kd=0.9+-2uM (17426033)
2o99	B	Kd=0.9+-2uM (17426033)
2o99	C	Kd=0.9+-2uM (17426033)
2o99	D	Kd=0.9+-2uM (17426033)
2our	A	Km=56nM (17389385)
2ouy	A	Km=56nM (17389385)
2oz6	A	Kd=1.0uM (21665969)
2oz6	A	Kd=1.0uM (21665969)
2ptm	A	K1/2=1.1uM (17562314)
2pw3	A	Km=56nM (17562314)
2pw3	B	Km=56nM (17562314)
3auj	A	Km=1.2+-0.2mM (22221669)
3auj	L	Km=1.2+-0.2mM (22221669)
3etq	A	Kd=920+-240nM (19525958)
3etq	B	Kd=920+-240nM (19525958)
3klo	A	Kd=3.18uM (20150502)
3klo	B	Kd=3.18uM (20150502)
3klo	C	Kd=3.18uM (20150502)
3klo	D	Kd=3.18uM (20150502)
3ocp	A	Kd=27+-3.6nM (21526164)
3ocp	B	Kd=27+-3.6nM (21526164)
3od0	A	Kd=12+-1.6nM (21526164)
3od0	A	Kd=12+-1.6nM (21526164)
3od0	B	Kd=12+-1.6nM (21526164)
3ogj	A	Kd=27+-3.6nM (21526164)
3ogj	B	Kd=27+-3.6nM (21526164)
3pjt	A	Kd=13.1uM (21304926)
3pjt	B	Kd=13.1uM (21304926)
3q6k	A	Kd=4.3nM (21795673)
3q6k	B	Kd=4.3nM (21795673)
3qyy	A	Ki=6.54uM (22120736)
3qyy	A	Ki=6.54uM (22120736)
3qyy	B	Ki=6.54uM (22120736)
3qyy	B	Ki=6.54uM (22120736)
3u0z	A	Kd=39.7nM (22006928)
3u0z	B	Kd=39.7nM (22006928)
3u10	A	Kd=82.0nM (22006928)
3u11	A	Kd=39.2nM (22006928)
3u11	B	Kd=39.2nM (22006928)
4dn0	A	Kd=1.9uM (22605337)
4dn0	A	Kd=1.9uM (22605337)
4ef4	A	Kd=4.42uM (22579474)
4ef4	B	Kd=4.42uM (22579474)
4emt	A	Kd=5uM (22728658)
4emt	B	Kd=5uM (22728658)
4etz	A	Kd=0.5uM (22810222)
4etz	B	Kd=0.5uM (22810222)
4eu0	A	Kd=0.5uM (22810222)
4euv	A	Kd=0.5uM (22810222)
4f5y	A	Kd=3.7uM (22728660)
4f5y	B	Kd=3.7uM (22728660)
4f9g	A	Km=2.4+-0.5mM (22705373)
4f9g	C	Km=2.4+-0.5mM (22705373)
