3kjq	B94	A	Ki=1.32uM
3h8c	NSZ	A	Ki=0.019uM
3h8c	NSZ	B	Ki=0.019uM
3h89	NSX	A	Ki=0.023uM
3h89	NSX	B	Ki=0.023uM
3h89	NSX	C	Ki=0.023uM
3h89	NSX	D	Ki=0.023uM
3h89	NSX	E	Ki=0.023uM
3h89	NSX	F	Ki=0.023uM
3bc3	OPT	A	Ki=0.155uM
3bc3	OPT	B	Ki=0.155uM
3h8b	NSY	A	Ki=0.511uM
3h8b	NSY	B	Ki=0.511uM
3h8b	NSY	C	Ki=0.511uM
3h8b	NSY	D	Ki=0.511uM
3h8b	NSY	E	Ki=0.511uM
3h8b	NSY	F	Ki=0.511uM
1g3m	PCQ	A	ic50~0.15nM
1g3m	PCQ	B	ic50~0.15nM
4jvm	XDI	B	ic50=33nM
4jvm	XDI	A	ic50=33nM
4jvn	YUG	B	ic50=23nM
4jvn	YUG	A	ic50=23nM
2hzy	DHJ	A	Ki=41nM
2hzy	DHJ	B	Ki=41nM
1hyo	HBU	A	Ki=84.8uM
1hyo	HBU	B	Ki=84.8uM
4zcw	4NG	B	ic50=42.5nM
4zcw	4NG	A	ic50=42.5nM
3ujs	0V5	B	Ki=0.4mM
3ujs	XSP	A	Ki=0.004mM
6d3q	4NG	C	Ki=3.4nM
6d3q	4NG	F	Ki=3.4nM
6d3q	4NG	E	Ki=3.4nM
6d3q	4NG	D	Ki=3.4nM
6d3q	4NG	A	Ki=3.4nM
6d3q	4NG	B	Ki=3.4nM
1ebg	PAH	A	Ki=15pM
1ebg	PAH	B	Ki=15pM
1els	PAH	A	Ki=15pM
4a3r	CIT	D	Ki=5mM
1pdz	PGA	A	Ki=0.2mM
4i7e	PEP	C	Kd=0.45uM
4i7e	PEP	B	Kd=0.45uM
4i7e	PEP	D	Kd=0.45uM
4i7e	PEP	A	Kd=0.45uM
4i4i	PEP	C	Kd=2.1uM
4i4i	PEP	B	Kd=2.1uM
4i4i	PEP	D	Kd=2.1uM
4i4i	PEP	A	Kd=2.1uM
6p83	O3Y	A	Kd=0.08uM
6p83	O3Y	B	Kd=0.08uM
6p83	O3Y	C	Kd=0.08uM
5m3z	NLE	A	Ki=0.6mM
6qxg	UFP	C	Ki=1.1nM
6qxg	UFP	A	Ki=1.1nM
6qxg	UFP	B	Ki=1.1nM
4e28	0MZ	A	Ki=1.3uM
2g86	UMP	A	Kd=0.44uM
1jmi	UMP	A	Kd=0.87uM
1nje	DCM	A	Kd=160uM
1tsl	A15	A	Ki=0.7uM
1njd	UMP	A	Kd=2.7uM
1njc	DCM	A	Kd=2.8uM
1tsy	UMP	A	Kd=11uM
1bp0	UMP	A	Kd=4uM
1nja	DCM	A	Kd=0.49uM
1jmf	UMP	A	Kd=1.7uM
1jmg	UMP	A	Kd=0.85uM
2kce	D16	A	Ki=0.67uM
2kce	D16	B	Ki=0.67uM
1tys	DHF	A	Kd=3.27uM
4lrr	CF9	A	Ki=6uM
1f4e	TPR	A	Ki=1.1mM
1jg0	DDT	A	ic50=5uM
1jg0	DDT	B	ic50=5uM
4isk	1JY	G	Ki=1.2nM
4isk	1JY	C	Ki=1.2nM
4isk	1JY	H	Ki=1.2nM
4isk	1JY	D	Ki=1.2nM
4isk	1JY	A	Ki=1.2nM
4isk	1JY	B	Ki=1.2nM
4isk	1JY	E	Ki=1.2nM
4isk	1JY	F	Ki=1.2nM
1f4f	TP3	A	Ki=24uM
1f4f	TP3	B	Ki=24uM
1syn	F89	A	Kd=0.1nM
1syn	F89	B	Kd=0.1nM
1tlc	DGP	A	Kd=0.076uM
1tlc	DGP	B	Kd=0.076uM
1f28	F89	A	Ki=16nM
1f28	F89	B	Ki=16nM
1f28	F89	C	Ki=16nM
1f28	F89	D	Ki=16nM
1i00	D16	A	Ki=0.46uM
1i00	D16	B	Ki=0.46uM
5x66	UMP	C	Kd=1.19uM
5x66	UMP	F	Kd=1.19uM
5x66	UMP	B	Kd=1.19uM
5x66	UMP	E	Kd=1.19uM
5x66	UMP	A	Kd=1.19uM
5x66	UMP	D	Kd=1.19uM
5x67	UMP	B	Kd=1.19uM
5x67	UMP	A	Kd=1.19uM
5x5d	UMP	B	Kd=1.19uM
5x5d	UMP	E	Kd=1.19uM
5x5d	UMP	A	Kd=1.19uM
5x5d	UMP	C	Kd=1.19uM
5x5d	UMP	D	Kd=1.19uM
5x5d	UMP	F	Kd=1.19uM
2a9w	GA9	A	Ki=4.1uM
2a9w	GA9	B	Ki=4.1uM
2a9w	GA9	C	Ki=4.1uM
2a9w	GA9	D	Ki=4.1uM
1f4g	TP4	A	Ki=330nM
1f4g	TP4	B	Ki=330nM
5j7w	MTX	C	Ki=13uM
5j7w	MTX	D	Ki=13uM
1tsd	UMP	A	Kd=0.04uM
1tsd	UMP	B	Kd=0.04uM
4jwk	CTN	A	Kd=5.3nM
4jx9	URI	A	Kd=1.4nM
4qbk	3NZ	A	Kd=0.000000064M
4qd3	5AE	A	Kd=0.000000064M
3tge	TGE	A	ic50=0.07nM
2chm	3P4	A	ic50=5.5nM
3hdz	PD6	A	ic50=51nM
2h44	7CA	A	ic50=1.7uM
2h42	VIA	A	ic50=2.4nM
2h42	VIA	B	ic50=2.4nM
2h42	VIA	C	ic50=2.4nM
4md6	24E	A	ic50=17nM
1uho	VDN	A	Kd~0.6nM
1udt	VIA	A	Kd~0.5nM
4ia0	5BB	A	ic50=77nM
3sie	5BO	A	ic50=13.3nM
3sie	5BO	B	ic50=13.3nM
3hc8	PD4	A	ic50=2.9nM
1xp0	VDN	A	ic50=0.001uM
1xoz	CIA	A	ic50=0.0012uM
4i9z	5BA	A	ic50=18.2nM
4oex	5EO	A	Kd=0.000000064M
4g2y	NI5	A	ic50>1000nM
4oew	5IO	A	Kd=0.000000064M
1xon	PIL	A	ic50=0.021nM
1xon	PIL	B	ic50=0.021nM
2qyn	NPV	A	ic50=0.57uM
2qyn	NPV	B	ic50=0.57uM
6f8r	CZK	B	ic50=20uM
6f8r	CZK	A	ic50=20uM
3g58	988	A	ic50=5nM
3g58	988	B	ic50=5nM
3g58	988	C	ic50=5nM
3g58	988	D	ic50=5nM
3sl6	JN8	A	ic50=0.29uM
3sl6	JN8	B	ic50=0.29uM
3sl6	JN8	C	ic50=0.29uM
3sl6	JN8	D	ic50=0.29uM
1oyn	ROL	A	ic50=0.55uM
1oyn	ROL	B	ic50=0.55uM
1oyn	ROL	C	ic50=0.55uM
1oyn	ROL	D	ic50=0.55uM
6f8x	D08	B	ic50=17uM
6f8x	D08	A	ic50=17uM
1y2b	DEE	A	ic50=82uM
1y2b	DEE	B	ic50=82uM
6imd	AH9	B	ic50=58.5uM
6imd	AH9	A	ic50=58.5uM
6imt	AK0	A	ic50=0.25uM
6imt	AK0	B	ic50=0.25uM
6hwo	FFZ	D	Ki=0.00000079M
6hwo	FFZ	B	Ki=0.00000079M
6hwo	FFZ	A	Ki=0.00000079M
6hwo	FFZ	C	Ki=0.00000079M
6imi	AH6	A	ic50=26.1uM
6imi	AH6	B	ic50=26.1uM
6imb	AH9	A	ic50=58.5uM
6imb	AH9	B	ic50=58.5uM
